"Specimen","lon","lat"
"JDL658-CA13-2013--Bv",-122.2964,41.1625
"JDL659-CA13-2013--Bv",-122.2964,41.1625
"JDL660-CA13-2013--Bv",-122.2964,41.1625
"JDL661-CA13-2013--Bv",-122.2964,41.1625
"JDL662-CA13-2013--Bv",-122.2964,41.1625
"JDL663-CA13-2013--Bv",-122.2964,41.1625
"JDL664-CA13-2013--Bv",-122.2964,41.1625
"JDL665-CA13-2013--Bv",-122.2964,41.1625
"JDL459-CA02-2013--Bv",-119.0282,37.6531
"JDL460-CA02-2013--Bv",-119.0282,37.6531
"JDL461-CA02-2013--Bv",-119.0282,37.6531
"JDL463-CA02-2013--Bv",-119.0282,37.6531
"JDL464-CA02-2013--Bv",-119.0282,37.6531
"JDL465-CA02-2013--Bv",-119.0282,37.6531
"JDL468-CA02-2013--Bv",-119.0282,37.6531
"JDL469-CA02-2013--Bv",-119.0282,37.6531
"JDL470-CA02-2013--Bv",-119.0282,37.6531
"JDL471-CA02-2013--Bv",-119.0282,37.6531
"JDL475-CA02-2013--Bv",-119.0282,37.6531
"JDL477-CA02-2013--Bv",-119.0282,37.6531
"JDL478-CA02-2013--Bv",-119.0282,37.6531
"JDL534-CA06-2013--Bv",-120.1174,38.1182
"JDL535-CA06-2013--Bv",-120.1174,38.1182
"JDL536-CA06-2013--Bv",-120.1174,38.1182
"JDL537-CA06-2013--Bv",-120.1174,38.1182
"JDL538-CA06-2013--Bv",-120.1174,38.1182
"JDL543-CA06-2013--Bv",-120.1174,38.1182
"JDL544-CA06-2013--Bv",-120.1174,38.1182
"JDL546-CA06-2013--Bv",-120.1174,38.1182
"JDL549-CA06-2013--Bv",-120.1174,38.1182
"JDL550-CA06-2013--Bv",-120.1174,38.1182
"JDL551-CA06-2013--Bv",-120.1174,38.1182
"JDL552-CA06-2013--Bv",-120.1174,38.1182
"JDL553-CA06-2013--Bv",-120.1174,38.1182
"JDL769-WA01-2014--Bv",-123.3029,47.3383
"JDL770-WA01-2014--Bv",-123.3029,47.3383
"JDL771-WA01-2014--Bv",-123.3029,47.3383
"JDL772-WA01-2014--Bv",-123.3029,47.3383
"JDL773-WA01-2014--Bv",-123.3029,47.3383
"JDL774-WA01-2014--Bv",-123.3029,47.3383
"JDL775-WA01-2014--Bv",-123.3029,47.3383
"JDL776-WA02-2014--Bv",-123.3326,47.3516
"JDL778-WA02-2014--Bv",-123.3326,47.3516
"JDL779-WA02-2014--Bv",-123.3326,47.3516
"JDL780-WA02-2014--Bv",-123.3326,47.3516
"JDL781-WA02-2014--Bv",-123.3326,47.3516
"JDL782-WA02-2014--Bv",-123.3326,47.3516
"JDL783-WA02-2014--Bv",-123.3326,47.3516
"JDL784-WA02-2014--Bv",-123.3326,47.3516
"JDL785-WA02-2014--Bv",-123.3326,47.3516
"JDL786-WA03-2014--Bv",-122.889,47.0377
"JDL787-WA03-2014--Bv",-122.889,47.0377
"JDL789-WA03-2014--Bv",-122.889,47.0377
"JDL790-WA03-2014--Bv",-122.889,47.0377
"JDL792-WA03-2014--Bv",-122.889,47.0377
"JDL794-WA03-2014--Bv",-122.889,47.0377
"JDL796-WA03-2014--Bv",-122.889,47.0377
"JDL797-WA03-2014--Bv",-122.889,47.0377
"JDL798-WA04-2014--Bv",-123.091,47.2
"JDL799-WA04-2014--Bv",-123.091,47.2
"JDL800-WA04-2014--Bv",-123.091,47.2
"JDL803-WA04-2014--Bv",-123.091,47.2
"JDL805-WA04-2014--Bv",-123.091,47.2
"JDL806-WA04-2014--Bv",-123.091,47.2
"JDL807-WA03-2014--Bv",-122.889,47.0377
"JDL817-OR07-2014--Bv",-122.352,43.673
"JDL819-OR07-2014--Bv",-122.352,43.673
"JDL824-OR07-2014--Bv",-122.352,43.673
"JDL826-OR07-2014--Bv",-122.352,43.673
"JDL827-OR07-2014--Bv",-122.352,43.673
"JDL828-OR07-2014--Bv",-122.352,43.673
"JDL829-OR07-2014--Bv",-122.352,43.673
"JDL831-OR07-2014--Bv",-122.352,43.673
"JDL832-OR07-2014--Bv",-122.352,43.673
"JDL833-OR07-2014--Bv",-122.352,43.673
"JDL834-OR07-2014--Bv",-122.352,43.673
"JDL835-OR07-2014--Bv",-122.352,43.673
"JDL836-OR07-2014--Bv",-122.352,43.673
"JDL837-OR07-2014--Bv",-122.352,43.673
"JDL838-OR08-2014--Bv",-122.3314,43.5724
"JDL839-OR08-2014--Bv",-122.3314,43.5724
"JDL840-OR08-2014--Bv",-122.3314,43.5724
"JDL842b-OR08-2014--Bv",-122.3314,43.5724
"JDL843b-OR08-2014--Bv",-122.3314,43.5724
"JDL844b-OR08-2014--Bv",-122.3314,43.5724
"JDL845b-OR08-2014--Bv",-122.3314,43.5724
"JDL846b-OR08-2014--Bv",-122.3314,43.5724
"JDL847b-OR08-2014--Bv",-122.3314,43.5724
"JDL848b-OR08-2014--Bv",-122.3314,43.5724
"JDL849b-OR08-2014--Bv",-122.3314,43.5724
"JDL850b-OR08-2014--Bv",-122.3314,43.5724
"JDL851b-OR08-2014--Bv",-122.3314,43.5724
"JDL852b-OR08-2014--Bv",-122.3314,43.5724
"JDL154-OR06-2012--Bv",-122.6795,42.1795
"JDL160-OR06-2012--Bv",-122.6795,42.1795
"JDL168-OR06-2012--Bv",-122.6795,42.1795
"JDL218-OR09-2012--Bv",-122.7537,42.0733
"JDL219-OR09-2012--Bv",-122.7537,42.0733
"JDL220-OR09-2012--Bv",-122.7537,42.0733
"JDL226-OR09-2012--Bv",-122.7537,42.0733
"JDL251-OR11-2012--Bv",-123.0847,42.1184
"JDL268-CA01-2012--Bv",-122.385,41.417
"JDL269-CA01-2012--Bv",-122.385,41.417
"JDL272-CA01-2012--Bv",-122.385,41.417
"JDL274-CA01-2012--Bv",-122.385,41.417
"JDL275-CA01-2012--Bv",-122.385,41.417
"JDL276-CA01-2012--Bv",-122.385,41.417
"JDL277-CA01-2012--Bv",-122.385,41.417
"JDL278-CA01-2012--Bv",-122.385,41.417
"JDL280-CA01-2012--Bv",-122.385,41.417
"JDL281-CA01-2012--Bv",-122.385,41.417
"JDL282-CA01-2012--Bv",-122.385,41.417
"JDL283-CA01-2012--Bv",-122.385,41.417
"JDL285-CA01-2012--Bv",-122.385,41.417
"JDL286-CA01-2012--Bv",-122.385,41.417
"JDL297-CA02-2012--Bv",-122.3157,41.315
"JDL304-CA02-2012--Bv",-122.3157,41.315
"JDL319-CA03-2012--Bv",-122.2677,41.3338
"JDL329-CA04-2012--Bv",-122.2075,41.3556
"JDL330-CA04-2012--Bv",-122.2075,41.3556
"JDL331-CA04-2012--Bv",-122.2075,41.3556
"JDL415-OR12-2012--Bv",-122.6065,42.2721
"JDL416-OR12-2012--Bv",-122.6065,42.2721
"JDL417-OR12-2012--Bv",-122.6065,42.2721
