"Specimen","lon","lat"
"JDL3117-OR03-2016--Bb",-121.7078,45.3341
"JDL3118-OR03-2016--Bb",-121.7078,45.3341
"JDL3119-OR03-2016--Bb",-121.7078,45.3341
"JDL3121-OR03-2016--Bb",-121.7078,45.3341
"JDL3123-OR03-2016--Bb",-121.7078,45.3341
"JDL3125-OR03-2016--Bb",-121.7078,45.3341
"JDL3126-OR03-2016--Bb",-121.7078,45.3341
"JDL3128-OR03-2016--Bb",-121.7078,45.3341
"JDL1493-OR07-2015--Bb",-121.6418,45.3101
"JDL1494-OR07-2015--Bb",-121.6418,45.3101
"JDL1495-OR07-2015--Bb",-121.6418,45.3101
"JDL1496-OR07-2015--Bb",-121.6418,45.3101
"JDL1497-OR07-2015--Bb",-121.6418,45.3101
"JDL1498-OR07-2015--Bb",-121.6418,45.3101
"JDL1499-OR07-2015--Bb",-121.6418,45.3101
"JDL1500-OR07-2015--Bb",-121.6418,45.3101
"JDL1502-OR07-2015--Bb",-121.6418,45.3101
"JDL1503-OR07-2015--Bb",-121.6418,45.3101
"JDL1505-OR07-2015--Bb",-121.6418,45.3101
"JDL1525-OR09-2015--Bb",-121.6481,45.3124
"JDL1526-OR09-2015--Bb",-121.6481,45.3124
"JDL1527-OR09-2015--Bb",-121.6481,45.3124
"JDL1528-OR09-2015--Bb",-121.6481,45.3124
"JDL1529-OR09-2015--Bb",-121.6481,45.3124
"JDL1530-OR09-2015--Bb",-121.6481,45.3124
"JDL1531-OR09-2015--Bb",-121.6481,45.3124
"JDL1532-OR09-2015--Bb",-121.6481,45.3124
"JDL1533-OR09-2015--Bb",-121.6481,45.3124
"JDL1534-OR09-2015--Bb",-121.6481,45.3124
"JDL1536-OR09-2015--Bb",-121.6481,45.3124
"JDL1537-OR09-2015--Bb",-121.6481,45.3124
"JDL1539-OR09-2015--Bb",-121.6481,45.3124
"JDL1546-OR06-2015--Bb",-121.7078,45.3341
"JDL1550-OR06-2015--Bb",-121.7078,45.3341
"JDL1553-OR06-2015--Bb",-121.7078,45.3341
"JDL2799-WA01-2016--Bb",-119.0104,47.9392
"JDL2800-WA01-2016--Bb",-119.0104,47.9392
"JDL2801-WA01-2016--Bb",-119.0104,47.9392
"JDL2802-WA01-2016--Bb",-119.0104,47.9392
"JDL2803-WA02-2016--Bb",-120.2859,48.3797
"JDL2804-WA02-2016--Bb",-120.2859,48.3797
"JDL2805-WA02-2016--Bb",-120.2859,48.3797
"JDL2807-WA02-2016--Bb",-120.2859,48.3797
"JDL2808-WA02-2016--Bb",-120.2859,48.3797
"JDL2809-WA02-2016--Bb",-120.2859,48.3797
"JDL2811-WA02-2016--Bb",-120.2859,48.3797
"JDL2812-WA02-2016--Bb",-120.2859,48.3797
"JDL2814-WA02-2016--Bb",-120.2859,48.3797
"JDL2815-WA02-2016--Bb",-120.2859,48.3797
"JDL2816-WA02-2016--Bb",-120.2859,48.3797
"JDL2817-WA02-2016--Bb",-120.2859,48.3797
"JDL2818-WA02-2016--Bb",-120.2859,48.3797
"JDL2819-WA02-2016--Bb",-120.2859,48.3797
"JDL2821-WA03-2016--Bb",-120.3734,48.5886
"JDL2822-WA03-2016--Bb",-120.3734,48.5886
"JDL2823-WA03-2016--Bb",-120.3734,48.5886
"JDL2824-WA03-2016--Bb",-120.3734,48.5886
"JDL2825-WA03-2016--Bb",-120.3734,48.5886
"JDL2826-WA03-2016--Bb",-120.3734,48.5886
"JDL2827-WA03-2016--Bb",-120.3734,48.5886
"JDL2828-WA03-2016--Bb",-120.3734,48.5886
"JDL2829-WA03-2016--Bb",-120.3734,48.5886
"JDL2830-WA03-2016--Bb",-120.3734,48.5886
"JDL2831-WA03-2016--Bb",-120.3734,48.5886
"JDL2832-WA03-2016--Bb",-120.3734,48.5886
"JDL2833-WA03-2016--Bb",-120.3734,48.5886
